desc_problema,ano,modelo_carro,categoria_problema,peca_problema
"O contato possui um Hyundai Tucson 2022. Ele relatou que, ao dirigir a aproximadamente 113 km/h descendo uma montanha, o pedal de freio foi pressionado e o veículo começou a vibrar anormalmente. Nenhuma luz de advertência estava acesa. O contato levou o veículo à concessionária, que diagnosticou pontos quentes nos discos de freio dianteiros. Os discos foram retificados. A quilometragem aproximada na ocasião da falha era de 76.000.",2022,Tucson,Disco/Pastilha de Freio,Rotor de freio
"Meu Honda Civic 2016 começou a soprar ar quente pelo sistema de ar condicionado enquanto estou dirigindo, tornando muito difícil respirar. Levei meu carro para a concessionaria, e disseram que o condensador está vazando, assim como o evaporador. Os condensadores que a Honda tem usado em seus Honda Civics 2016 - 2018 têm um histórico de falhas, e é por isso que a Honda agora está estendendo a garantia deles por mais dois anos. No entanto, a Honda também sabe que os evaporadores são defeituosos. Acredito que isso é uma questão de segurança devido ao fato de que o carro está bombeando ar quente para dentro do veículo, mesmo quando desligado, causando problemas respiratórios e também problemas de visão para qualquer motorista no carro. Por favor, ajude de qualquer forma que puder. Obrigado.",2016,Civic,Ar Condicionado,Condensador
O ar condicionado começou a soprar ar quente aos 35.956 milhas em movimento.,2016,Civic,Ar Condicionado,Compressor
"Meu Honda Civic 2018 teve um problema. O ar condicionado do lado do motorista não está resfriando e está soprando ar morno. A concessionária Honda realizou um diagnóstico e descobriu que o sistema estava ligeiramente baixo e que o compressor do ar condicionado está vazando. Este sistema não atendeu à expectativa razoável de confiabilidade dos carros Honda, e um compressor de ar condicionado deveria durar mais do que apenas alguns anos com baixa quilometragem. Isso está muito além do que seria considerado desgaste normal! Estou desapontado e chateado que a Honda.",2018,Civic,Ar Condicionado,Condensador
"Honda Civic 2017. O consumidor escreve a respeito de um barulho alto e de moagem vindo do veículo. O consumidor afirmou que o ar condicionado falhou, causando o barulho alto e de moagem. O fabricante foi contatado. O consumidor solicitou o reembolso dos custos de reparo.",2017,Civic,Ar Condicionado,Condensador
"O contato possui um Honda Civic 2016. Ele relatou que, ao dirigir a várias velocidades, o ar condicionado estava distribuindo ar quente pelas saídas de ventilação. A concessionária local foi contatada, mas o veículo não foi diagnosticado nem reparado. O fabricante foi contatado e direcionou o contato para a NHTSA. O contato estava preocupado em dirigir um veículo sem ar condicionado em um estado com clima quente.",2016,Civic,Ar Condicionado,Condensador
O ar condicionado não estava funcionando. Falhou pela segunda vez. Não estava soprando ar frio. O condensador do ar condicionado falhou. O condensador foi substituído sob a garantia da Honda.,2021,Civic,Ar Condicionado,Compressor
O sistema de ar condicionado do nosso carro falhou pela terceira vez. Não estava mais soprando ar frio para o interior do carro. O diagnóstico foi que o O-ring do ar condicionado estava vazando. O O-ring foi substituído.,2019,Tucson,Ar Condicionado,Condensador
"No final de 2022, o sistema de ar condicionado do carro falhou pela quarta vez. O sistema de ar condicionado do carro parou de funcionar; não estava mais soprando ar frio para o interior do veículo. O diagnóstico foi que o compressor do ar condicionado estava vazando. O compressor do ar condicionado foi substituído. Pagamos a conta e pedimos à Hyundai que nos reembolsasse o valor, pois após 4 falhas em 3 anos, era óbvio que o design do sistema de ar condicionado do Tucson estava com defeito. A Hyundai se recusou a pagar pela substituição do compressor.",2019,Tucson,Ar Condicionado,Compressor
O sistema de ar condicionado não está funcionando corretamente. Estou substituindo a unidade defeituosa. Acho injusto ter que gastar esse valor para consertar algo que a empresa deveria incluir em uma campanha de recall.,2017,Azera,Ar Condicionado,Compressor
"O compressor e o condensador do ar condicionado estão ambos quebrados ou com vazamento. Eles deveriam cobrir ambos, e não apenas uma peça. A Jeep deveria cobrir todas as peças do ar condicionado. P.S.: Não tenho certeza se isso está relacionado, mas sinto um cheiro de metal vindo do ventilador do ar condicionado, o que é muito ruim para a saúde.",2016,Renegade,Ar Condicionado,Compressor
O sistema de ar condicionado falhou. A segurança está em risco devido às temperaturas elevadas. Milhares de pessoas reclamaram sobre esses problemas. A Jeep precisa fazer um recall de todo o sistema de ar condicionado e reparar esses defeitos de fabricação.,2020,Renegade,Ar Condicionado,Compressor
"O sistema de ar condicionado parou abruptamente de emitir ar frio, o que levou à intervenção da concessionária. A avaliação deles revelou um vazamento no compressor devido à falha no selo do eixo.",2018,Azera,Ar Condicionado,Condensador
"Eu tenho um Hyundai Tucson 2016 com 62.000 milhas. Estou tendo problemas com o ar condicionado soprando ar quente intermitentemente há alguns meses. Levei o carro a uma concessionária Hyundai e eles substituíram um compressor defeituoso; o limitador de torque tinha se rompido internamente devido ao aprisionamento. Agora, 4,5 meses depois, o ar condicionado está soprando ar quente novamente. Também precisei consertar o sistema elétrico, substituir a coluna de direção, a carcaça e o módulo de montagem MDPS.",2016,Tucson,Ar Condicionado,Condensador
"O contato possui um hyundai tucson 2013. ele relatou que, ao dirigir a 96 km/h, começou a ouvir um barulho de clique vindo do motor sem aviso prévio. o contato parou o veículo e verificou os fluidos, todos os níveis estavam normais. à medida que o contato continuava dirigindo, o veículo parou e desligou-se enquanto as luzes de advertência de óleo e bateria se acendiam. ao reiniciar o veículo, fumaça branca começou a sair do motor. foi informada de que o motor tinha lançado uma biela, causando o mau funcionamento do motor. o contato foi então informado de que seria necessária uma substituição do motor. A quilometragem na ocasião da falha era de 185.000.",2013,Tucson,Arrefecimento,Motor
"O contato possui um Hyundai Tucson 2017. Ele relatou que, o veículo começou a liberar odores de óleo e fumaça foi vista saindo debaixo do capô. A mensagem de aviso do veículo instruía o contato a encostar. O contato abriu o capô e notou fumaça, descobrindo que o reservatório de coolant estava vazio. O contato informou que foi adicionado coolant ao veículo. A concessionária informou que os sensores de coolant foram reparados; no entanto, o contato verificou o reservatório de coolant e descobriu que não havia coolant no veículo. Os sensores do veículo falharam em alertar sobre o nível baixo ou a falta de coolant. A quilometragem na ocasião da falha era de 155.000.",2017,Tucson,Arrefecimento,Sensores de coolant
"O contato possui um Hyundai Tucson 2020. Ele relatou que, ao dirigir a 40 mph, o veículo começou a superaquecer e, em seguida, foi ouvido um som anormalmente alto vindo do motor. Após investigação, foi descoberto que o radiador tinha um buraco no lado direito. O veículo não foi levado a uma concessionária local e não foi diagnosticado. O veículo não foi reparado. A quilometragem na ocasião da falha era de aproximadamente 135.000.",2020,Tucson,Arrefecimento,Radiador
"O contato possui um Hyundai Azera 2018. Ele relatou que, enquanto dirigia a várias velocidades, a luz de alerta de baixo nível de líquido de arrefecimento aparecia no painel de instrumentos. O contato informou que inicialmente levou o veículo a um mecânico independente, que diagnosticou um vazamento de líquido de arrefecimento. Apesar do conserto, o problema voltou a ocorrer imediatamente. O veículo foi então levado a um concessionário, onde a mangueira de líquido de arrefecimento danificada foi substituída, o problema voltou a ocorrer logo após os reparos. O contato então levou o veículo a dois outros mecânicos independentes, que ambos confirmaram o vazamento de líquido de arrefecimento; no entanto, o problema persistiu após cada reparo. O veículo ainda não foi consertado. A quilometragem com o problema era desconhecida.",2018,Azera,Arrefecimento,Liquido de arrefecimento
"O contato possui um Hyundai Azera 2016. Ele relatou que a luz de alerta do motor estava acesa. O veículo foi levado ao concessionário local, onde foi diagnosticado um vazamento de líquido de arrefecimento e foi indicado que era necessário substituir o motor. O veículo não foi consertado. O fabricante foi notificado, mas nenhuma assistência adicional foi fornecida. A quilometragem com o problema era 61.000.",2016,Azera,Arrefecimento,Motor
"O concessionário determinou que o líquido de arrefecimento do motor está vazando para o motor. Este é um modelo 2019 com 24.500 milhas. Entendo que vários veículos Honda com o mesmo design de motor foram chamados para recall devido a este ser um problema de segurança, e estou com medo de dirigir o veículo.",2019,Civic,Arrefecimento,Liquido de arrefecimento
"A válvula de desvio de líquido de arrefecimento falhou pela terceira vez no meu Civic 2018 . A válvula de desvio, com base nas análises de recalls que li online, pode ficar presa fechada, impedindo que o anticongelante passe para o motor. Isso pode causar o superaquecimento do motor e até incêndio. Outros recalls notaram a possibilidade de incêndio no motor devido a vazamento de líquido de arrefecimento. A luz de verificação do motor acendeu em todas as três ocasiões.",2018,Civic,Arrefecimento,Liquido de arrefecimento
"O contato possui um Honda Civic 2018. Ele relatou que, ao dirigir a aproximadamente 60 MPH e desacelerar, o veículo começou a perder potência. O contato mencionou que havia um odor forte vindo do veículo. Em seguida, viu fumaça e dirigiu seu veículo até o mecânico independente mais próximo. O mecânico informou que a válvula PCV tinha se rompido devido ao congelamento, causando a explosão do retentor traseiro do virabrequim. Também foi informado que a fumaça era causada pelo vazamento de óleo sob o veículo. O contato então teve seu veículo rebocado para o concessionário, que informou que havia vários veículos do mesmo ano, marca e modelo já sendo reparados pelo mesmo problema e que ela deveria levar seu veículo a outro concessionário. O contato então teve seu veículo rebocado para outro concessionário, onde permanece atualmente. O fabricante foi notificado do problema. A quilometragem com o problema era 67.000.",2018,Civic,Arrefecimento,Liquido de arrefecimento
"O contato possui um Hyundai Azera 2011. Ele relatou que, enquanto o veículo estava estacionado fora do concessionário, ouviu um som anormal de tique-taque vindo debaixo do capô do veículo. O contato notificou o concessionário sobre o problema e foi informado de que o barulho eventualmente cessaria após dirigir o veículo por um tempo. O problema persistiu e o veículo foi levado de volta ao concessionário. O veículo foi inspecionado e o contato foi informado de que a corrente de distribuição e o conjunto precisavam ser substituídos. O veículo foi reparado. O contato afirmou que, um ano depois, enquanto dirigia, o problema retornou e o veículo tremeu e perdeu potência. Não havia luz de aviso acesa. O veículo foi primeiramente rebocado para a residência e, em seguida, rebocado para o concessionário para diagnóstico. O contato foi informado de que a falha foi causada por consumo excessivo de óleo relacionado ao reparo da corrente de distribuição. O veículo não foi reparado. O fabricante foi informado do problema. A quilometragem com o problema era aproximadamente 107.000.",2011,Azera,Arrefecimento,Motor
"O contato possui um Jeep Renegade 2020. Ele relatou que, enquanto sua filha dirigia a aproximadamente 35 MPH, a luz de alerta ""Check Engine"" acendeu. A filha do contato informou que o medidor de temperatura estava mostrando uma temperatura alta do motor. A filha do contato parou o veículo com segurança. O contato disse que havia vapor branco saindo debaixo do capô. O contato afirmou que seu marido levou o veículo com um reboque e o trouxe de volta para a residência. Mais tarde, o contato levou o veículo ao concessionário local, onde foi diagnosticado um vazamento de líquido de arrefecimento do motor. O veículo não foi reparado, mas estava aguardando reparos. O fabricante foi informado do problema. A quilometragem com o problema era aproximadamente 135.000.",2020,Renegade,Arrefecimento,Liquido de arrefecimento
"O contato possui um Jeep Renegade 2019. Ele relatou que, enquanto dirigia a aproximadamente 35 MPH, o veículo começou a superaquecer. A luz de alerta do motor estava acesa no painel de instrumentos. O veículo foi levado ao concessionário local e foi diagnosticado com uma falha no líquido de arrefecimento do motor. O veículo não foi reparado. O fabricante foi notificado e forneceu ao contato um kit de substituição de bloco longo. A quilometragem aproximada com o problema era 115.000.",2019,Renegade,Arrefecimento,Liquido de arrefecimento
"O contato possui um Jeep Renegade 2017. Ele relatou que, enquanto seu cônjuge estava dirigindo, a luz de alerta do motor acendeu. O veículo foi levado a um mecânico independente, que diagnosticou a falha como uma falha de ignição. As velas de ignição foram trocadas, mas o problema continuou. O veículo foi levado de volta ao mecânico independente, que afirmou que a falha poderia estar relacionada a danos na bobina e que o líquido de arrefecimento estava vazando para o cilindro. O veículo foi levado a outro mecânico independente, que confirmou o vazamento de líquido de arrefecimento e afirmou que o motor precisava ser substituído. O veículo não foi reparado. O concessionário foi contatado sobre recalls e referiu o contato ao fabricante para assistência. A quilometragem aproximada com o problema era 106.000.",2017,Renegade,Arrefecimento,Motor
"O contato possui um Honda Civic 2013. Ele relatou que, enquanto o veículo estava estacionado e funcionando, ouviu sons anormais vindo do capô do veículo. A luz de alerta do motor estava acesa. O contato conseguiu dirigir o veículo; no entanto, o problema persistiu. O veículo foi levado ao concessionário, que diagnosticou que a correia de acessórios havia falhado e precisava ser substituída. O contato afirmou que o problema havia ocorrido novamente enquanto dirigia. O contato tentou entrar em contato com o fabricante, mas não conseguiu falar com um representante. O veículo não foi reparado. A quilometragem com o problema era aproximadamente 150.000.",2013,Civic,Correias,Correia de acessórios
"A correia de acessórios produzida pela Gates está causando falhas de ignição. A peça está disponível para inspeção. As falhas de ignição escalaram a ponto de a luz de verificação do motor piscar e o veículo reduzir a potência enquanto estava em movimento na estrada. Foi necessário parar de emergência. Após desligar e ligar a chave, o veículo voltou a funcionar normalmente. Eu consegui confirmar a falha com a gravação de dados. A Gates não respondeu aos meus esforços de comunicação. O veículo não apresentava problemas antes da troca da correia. Ele estava usando a correia original e foi substituída apenas por causa do intervalo de manutenção. Após a falha ter sido confirmada com o monitoramento de dados, uma nova correia original foi instalada e a falha foi confirmada como desaparecida.",2006,Civic,Correias,Correia de acessórios
"O contato possui um Honda Civic 2013. Ele relatou que, enquanto dirigia a 15-20 MPH, a luz de alerta da bateria acendeu e o volante perdeu repentinamente a funcionalidade da direção hidráulica. O veículo então perdeu energia elétrica. O contato não conseguiu reiniciar o veículo após várias tentativas. O veículo foi rebocado para o concessionário, onde foi diagnosticado que havia vazamento de óleo e que o eixo do lado do passageiro precisava ser substituído. Além disso, a correia de acessórios havia se soltado. O contato foi informado de que o alternador e a bateria precisavam ser substituídos. O contato afirmou que o veículo foi reparado; no entanto, o problema voltou a ocorrer enquanto dirigia. O veículo foi rebocado para a residência do contato. O concessionário foi notificado sobre a falha. O veículo não foi reparado. O fabricante não foi notificado da falha. A quilometragem com o problema era aproximadamente 93.000.",2013,Civic,Correias,Correia de acessórios
"O contato possui um Jeep Renegade 2021. Ele relatou que, enquanto seu filho dirigia a 60 MPH, o veículo parou repentinamente. O contato mencionou que várias luzes de aviso desconhecidas estavam acesas. O veículo não estava dirigível. Quando o contato chegou ao local, percebeu que a correia de acessórios estava rompida. O contato rebocou o veículo para um concessionário local, onde foi diagnosticado que a correia de acessórios precisava ser substituída. O veículo não foi reparado. O fabricante foi informado da falha. A quilometragem com o problema era aproximadamente 8.000.",2021,Renegade,Correias,Correia de acessórios
"O contato possui um Hyundai Azera 2017. Ele relatou que, enquanto dirigia a uma velocidade não divulgada, a luz de alerta do motor acendeu. Além disso, a luz de aviso do ABS acendeu intermitentemente e o volante ficou preso. O veículo foi levado a um mecânico independente, que informou ao contato que houve uma falha com a correia de acessórios. O veículo não foi reparado. O fabricante não foi informado da falha. A quilometragem com o problema era desconhecida.",2017,Azera,Correias,Correia de acessórios
"O contato possui um Hyundai Azera 2017. Ele relatou que, enquanto dirigia a várias velocidades, havia um som de rangido vindo do veículo. Ao inspecionar o veículo sob o capô, foi descoberto que a polia do tensor estava muito solta. O veículo foi levado ao concessionário local, que indicou que a polia precisava ser substituída. O veículo ainda não foi reparado. O contato mencionou que a polia do tensor havia sido substituída em três ocasiões anteriores. O fabricante foi notificado da falha, mas nenhuma assistência foi oferecida. O concessionário local não foi notificado da falha. A quilometragem com o problema era 100.000.",2017,Azera,Correias,Polia do tensor
"Enquanto dirigia meu Hyundai Azera 2013, comecei a ouvir um som de rangido vindo do motor. O barulho se intensificou e, de repente, o volante ficou pesado e difícil de manobrar. Parei em um posto de gasolina e descobri que a correia de acessórios estava desgastada e prestes a se romper. Troquei a correia, mas o mecânico disse que o problema já havia causado danos ao alternador.",2013,Azera,Correias,Correia de acessórios
"Eu estava dirigindo meu Jeep Renegade 2016 quando a luz de alerta do motor acendeu e o carro começou a perder potência. Consegui parar o carro a tempo e descobri que a correia do alternador havia se rompido. A correia rompida impediu que a bateria fosse carregada, causando a perda de energia elétrica.",2016,Renegade,Correias,Correia do alternador
"Percebi que a direção do meu Hyundai Tucson 2015 estava ficando extremamente difícil de manobrar enquanto dirigia para o trabalho. Levei o carro ao mecânico e descobri que a correia da direção hidráulica havia se rompido. A falha na correia impediu a operação correta do sistema de direção hidráulica, tornando a condução quase impossível.",2015,Tucson,Correias,Correia da direção hidraulica
"Enquanto subia uma ladeira íngreme com meu Hyundai Tucson 2014, o carro perdeu repentinamente a potência e quase parou. O mecânico descobriu que a correia de distribuição estava gasta e não estava mantendo a sincronização adequada do motor, o que causou a perda de potência.",2014,Tucson,Correias,Correia de acessórios
"Ouvi um barulho de tique-taque vindo do motor do meu Jeep Renegade 2016. O carro começou a perder energia e a luz da bateria acendeu. O problema foi identificado como uma falha na correia de acessórios, que estava impedindo o alternador de funcionar corretamente.",2016,Renegade,Correias,Correia de acessórios
"Ouvi um som de chiado vindo do motor do meu Hyundai Tucson 2019. O barulho aumentou com o tempo, e eventualmente os freios começaram a falhar. Quando o carro foi examinado, descobri que a correia de acessórios estava tão desgastada que afetou o funcionamento da bomba de freio. Troquei a correia e ajustei o sistema de freios.",2019,Tucson,Correias,Correia de acessórios
"Eu estava dirigindo na pista do meio da rodovia quando, de repente, meu Jeep Renegade entrou em neutro e não consegui passar de 1500 RPM. Fiquei preso no tráfego da hora do rush, sem conseguir ir para a faixa de emergência, até que um homem em uma caminhonete me ajudou a empurrar para o lado da estrada. Sem dinheiro para um reboque, liguei para um amigo que me ajudou a levar o carro para casa. Ao investigar o problema, descobri que o Jeep Renegade pode ter problemas nos atuadores da embreagem. Comprei dois atuadores no eBay após esperar uma semana pela entrega, mas o problema persistiu e a luz de verificação do motor continuou acesa. O código de erro P0805 voltou e a concessionária Jeep disse que levaria um mês ou mais para conseguir uma consulta e custaria várias centenas de dólares para consertar. Estou muito frustrado com a situação e, com base nas pesquisas, parece que o Jeep Renegade 2012 é um dos piores veículos e apresenta muitos problemas, tornando-o perigoso para dirigir.",2012,Renegade,Embreagens,Atuadores da embreagem
"O contato possui um Honda Civic 2011. Ele relatou que, enquanto dirigia a aproximadamente 72 km/h, a luz de verificação do motor acendeu. O contato estacionou à beira da estrada para verificar o óleo do motor, mas não encontrou nenhum problema. Ele continuou dirigindo até sua residência. Depois, levou o carro a um mecânico independente, que diagnosticou a necessidade de substituir o circuito do solenoide do conversor de torque. O veículo ainda não foi reparado, mas está aguardando reparos. A concessionária não foi contatada e o fabricante ainda não foi informado sobre a falha. A quilometragem da falha foi de 149.990.",2011,Civic,Embreagens,Solenoide de torque
"O contato possui um Jeep Renegade 2017. Ele relatou que, enquanto sua esposa dirigia a uma velocidade não divulgada, o veículo perdeu a potência e a luz de aviso da transmissão acendeu. O carro foi levado a um mecânico independente, que diagnosticou um problema com o solenoide de mudança da transmissão. O veículo ainda não foi reparado. O fabricante foi informado sobre a falha e um caso foi aberto. A quilometragem da falha foi de 46.339.",2017,Renegade,Embreagens,Solenoide da transmissão
"O contato possui um Jeep Renegade 2012. Ele relatou que, enquanto dirigia a aproximadamente 56 km/h e pressionava o pedal do acelerador, o veículo não respondia. O contato também mencionou que, ocasionalmente, enquanto estava na marcha (D) ou na ré (R), o veículo falhava em responder. A luz de verificação do motor estava acesa. O contato e um funcionário empurraram o carro até o mecânico local, que diagnosticou uma falha no circuito do atuador da embreagem e na transmissão. O veículo não foi reparado e foi rebocado para a concessionária, onde foi diagnosticado com falha no circuito do atuador da embreagem e na transmissão. O veículo ainda não foi reparado. O fabricante foi notificado sobre a falha. A quilometragem da falha foi de aproximadamente 29.000.",2012,Renegade,Embreagens,Atuadores da embreagem
"O contato possui um Honda Civic 2016. Ele relatou que, enquanto dirigia a 64 km/h, a luz de aviso da transmissão acendeu no painel. O contato parou o veículo e esperou até que ele esfriasse. Quando reiniciou o carro, ele não acelerava como deveria. Após alguns minutos, o veículo começou a funcionar normalmente. O carro foi levado à concessionária, onde foi informado que a embreagem precisava ser substituída. O veículo não foi reparado. O fabricante foi contatado e informou que não podia ajudar porque o VIN não estava sob recall. A quilometragem da falha foi de 106.000.",2016,Civic,Embreagens,Atuadores da embreagem
"O contato possui um Honda Civic 2015. Ele relatou que, enquanto estava parado em primeira marcha e dirigia em baixa velocidade, a embreagem fez um som metálico anormal de moagem. Nenhuma luz de aviso estava acesa. O veículo foi levado à concessionária, onde foi diagnosticado que a mola da embreagem precisava ser substituída. O fabricante foi notificado sobre a falha e o contato recebeu um número de caso. A quilometragem da falha foi de aproximadamente 68.000.",2015,Civic,Embreagens,Mola da embreagem
"O contato possui um Hyundai Azera 2013. Ele relatou que, ao partir de uma parada completa, o veículo hesitou para responder e estava sacudindo significativamente. A falha também ocorreu enquanto dirigia a várias velocidades. Nenhuma luz de aviso estava acesa. O veículo foi levado à concessionária várias vezes. A concessionária substituiu a embreagem da transmissão sob garantia. O contato informou que a falha retornou 6 anos depois. O veículo foi levado de volta à concessionária local, onde foi diagnosticado que a embreagem da transmissão precisava ser substituída; no entanto, a concessionária informou que o veículo não poderia ser reparado sob garantia. O fabricante foi notificado da falha. A quilometragem da falha foi de aproximadamente 20.000.",2013,Azera,Embreagens,Solenoide da transmissão
